,user_id,skill_name,correct,order_id,correct_predictions,state_predictions
1186,S001,KC.U5.15.difference_sample_proportions_normal_conditions,0,52,0.38516038559683574,0.36184854144568446
1198,S001,KC.U9.06.slope_ci_interpret_context,1,53,0.5828666854492274,0.47005740033631277
1232,S001,KC.U8.12.two_way_expected_counts,0,54,0.5181269192067159,0.4562006428937863
1250,S001,KC.U7.25.two_sample_t_test_conclusion,0,55,0.3974120956535502,0.8504300041115287
1270,S001,KC.U7.14.t_test_statistic_mean,0,56,0.4553536332578154,0.4620598564432261
1279,S001,KC.U8.02.gof_procedure_selection,1,57,0.6381550547638917,0.023378477573207428
1288,S001,KC.U5.09.sample_proportion_mean,1,58,0.5866400639386087,0.7822261156104414
1310,S001,KC.U7.20.two_sample_t_interval_compute_interpret,1,59,0.29149158769624606,0.21651984353682857
1322,S001,KC.U3.02.census_vs_sample_survey,0,60,0.5001831215578093,0.1403395512802017
1396,S001,KC.U4.06.union_intersection_addition_rule,0,61,0.4791847400245317,0.5847280709186813
1413,S001,KC.U10.04.bootstrap_distribution_of_statistic,0,62,0.5903589551567175,0.23599914765988966
1443,S001,KC.U9.07.slope_ci_claim_evaluation,0,63,0.4596754031304193,0.4431806255944162
1464,S001,KC.U6.32.two_prop_test_conclusion,1,64,0.307633143547422,0.23265014166416287
1471,S001,KC.U8.17.independence_hypotheses,0,65,0.3221451179846632,0.09178855719335625
1513,S001,KC.U4.30.geometric_mean_sd,1,66,0.4942153243918767,0.6199964058079667
1559,S001,KC.U5.17.sample_mean_mean,1,67,0.5278085648573133,0.5497516119140458
1576,S001,KC.U1.06.categorical_bar_pie_segmented,1,68,0.6764521808492837,0.8860100840644889
1598,S001,KC.U1.02.observational_unit_variable,0,69,0.5847831332599088,0.52990774341321
1615,S001,KC.U6.08.margin_error_width_sample_size,0,70,0.4475897925789861,0.7754661782396316
1619,S001,KC.U1.13.spread_iqr_range_sd,0,71,0.693056590615283,0.9012144542158316
1620,S001,KC.U8.08.gof_p_value_interpretation,1,72,0.5682795740196689,0.7311573106444138
1677,S001,KC.U2.17.residual_plot_assess_linearity,1,73,0.47876933876890637,0.5810396956166369
1682,S001,KC.U10.02.bootstrap_resampling_with_replacement,0,74,0.41552781416709994,0.1223751657763062
1718,S001,KC.U6.28.two_prop_test_procedure_selection,1,75,0.5191156248912108,0.776498970766164
1730,S001,KC.U1.23.inverse_normal_percentile,0,76,0.5024749687734598,0.11385893363602026
1737,S001,KC.U2.03.conditional_relative_frequency,1,77,0.47296348187694015,0.4107854175485395
1743,S001,KC.U1.26.graph_construction_axes,0,78,0.3940319737420346,0.5847493686085883
1752,S001,KC.U5.19.clt_sample_mean_shape,0,79,0.5457449148573325,0.44961572957954116
1753,S001,KC.U8.21.two_way_p_value_interpretation,0,80,0.43886820755323,0.6403487505148284
1759,S001,KC.U10.17.power_specific_alternative,0,81,0.7396984306152119,0.9038180144780469
1767,S001,KC.U6.26.two_prop_ci_compute_interpret,0,82,0.540773767396332,0.6543983470198357
1781,S001,KC.U10.01.bootstrap_purpose_sampling_distribution,0,83,0.3651261467468967,0.6679253105621882
1792,S001,KC.U9.13.slope_test_procedure_selection,1,84,0.6099330935935705,0.4906359504673784
1802,S001,KC.U2.14.slope_interpretation,0,85,0.5399631479740559,0.4851626600235488
1822,S001,KC.U9.20.regression_inference_scope_and_prediction_language,0,86,0.3732774704252432,0.32832953622258687
1858,S001,KC.U3.25.design_conclusion_scope,0,87,0.4161367511534001,0.8190105172163554
1859,S001,KC.U6.14.one_prop_test_statistic,0,88,0.308448078027091,0.4049162220183339
1918,S001,KC.U10.18.alpha_beta_power_tradeoff_context,0,89,0.28038184975174285,0.38188159219293777
1934,S001,KC.U8.13.homogeneity_procedure_selection,1,90,0.3123006824359647,0.04100474016044821
6,S002,KC.U1.23.inverse_normal_percentile,0,0,0.5024749687734598,0.11385893363602026
76,S002,KC.U6.30.pooled_proportion_test_se,0,1,0.24999999999999994,0.20615046999641945
163,S002,KC.U4.15.discrete_probability_distribution,1,2,0.44280440321201,0.8226170090239623
178,S002,KC.U1.20.normal_model_appropriateness,1,3,0.5991582803474581,0.8990039225071227
186,S002,KC.U1.16.resistance_skew_mean_median,1,4,0.5179847419895559,0.22843029057909411
189,S002,KC.U5.01.normal_model_percentile_interval,1,5,0.5119954595598822,0.4565405753049041
226,S002,KC.U6.24.two_prop_inference_conditions,1,6,0.4466119955854182,0.48471656754211523
244,S002,KC.U1.18.linear_transformations,0,7,0.5387813709659469,0.6739470054719153
370,S002,KC.U4.30.geometric_mean_sd,1,8,0.4942153243918767,0.6199964058079667
373,S002,KC.U4.16.expected_value_calculation,0,9,0.43834358570360693,0.6972533798568442
400,S002,KC.U4.30.geometric_mean_sd,1,10,0.5454436100642001,0.7974623549477823
442,S002,KC.U1.03.variable_type_cat_quant,1,11,0.6112510186458131,0.6768918659448495
446,S002,KC.U7.22.two_sample_t_test_procedure_selection,0,12,0.5523623279738434,0.18953670036261497
451,S002,KC.U5.16.difference_sample_proportions_probability,0,13,0.30539147003077327,0.41420405241774616
452,S002,KC.U1.10.histogram_shape_features,0,14,0.42910989501450075,0.009919972548856607
464,S002,KC.U8.18.two_way_chi_square_conditions,0,15,0.26971853246163846,0.05221930468058452
481,S002,KC.U4.16.expected_value_calculation,1,16,0.4101241006046702,0.6264612905723279
525,S002,KC.U2.05.segmented_bar_comparison,1,17,0.42465654329773134,0.22863835632520832
540,S002,KC.U1.23.inverse_normal_percentile,0,18,0.5133112843150718,0.1411983172275753
566,S002,KC.U6.22.alpha_beta_tradeoff,1,19,0.3948246122288014,0.6123911190405507
571,S002,KC.U10.10.cohens_d_compute_effect_size,1,20,0.3396123735471948,0.546673217814367
606,S002,KC.U6.24.two_prop_inference_conditions,0,21,0.7609487125141869,0.9140518133855969
607,S002,KC.U2.20.regression_extrapolation,0,22,0.6113341918025055,0.6620105839086873
611,S002,KC.U1.11.describe_distribution_socs,0,23,0.47896032481840983,0.49978139533757654
632,S002,KC.U1.26.graph_construction_axes,1,24,0.3940319737420346,0.5847493686085883
685,S002,KC.U3.11.generalization_scope,1,25,0.5078698182115524,0.26960493934312474
720,S002,KC.U7.09.generalization_scope_quantitative_inference,0,26,0.3529411764705882,0.3799586588219929
746,S002,KC.U4.07.mutually_exclusive_events,1,27,0.5325929801189222,0.10705236996986375
786,S002,KC.U5.13.difference_sample_proportions_mean,0,28,0.2580355397144656,0.4597832364049914
802,S002,KC.U1.04.variable_type_discrete_continuous,1,29,0.6375967738159327,0.742280861787709
846,S002,KC.U6.32.two_prop_test_conclusion,0,30,0.307633143547422,0.23265014166416287
885,S002,KC.U8.23.generalization_scope_chi_square,1,31,0.18677297226315984,0.16175681008645434
915,S002,KC.U5.04.simulation_sampling_distribution,0,32,0.5053385174264261,0.29907854993891697
935,S002,KC.U7.23.two_sample_t_hypotheses,1,33,0.34895415048371226,0.3048513640302045
949,S002,KC.U5.17.sample_mean_mean,1,34,0.5278085648573133,0.5497516119140458
950,S002,KC.U1.11.describe_distribution_socs,1,35,0.5130533564607264,0.5730313433519054
960,S002,KC.U5.18.sample_mean_standard_error,1,36,0.4899437679058022,0.5467206034145181
995,S002,KC.U4.21.combining_independent_random_variables,0,37,0.5503211661172361,0.8658038327286576
1007,S002,KC.U5.06.point_estimator_statistic_parameter,1,38,0.6937113963579401,0.876996363470628
1022,S002,KC.U2.02.marginal_relative_frequency,0,39,0.5297497295951424,0.6007811953060062
1023,S002,KC.U4.24.binomial_exact_probability,1,40,0.4226828716659659,0.2697491463803403
1041,S002,KC.U6.12.one_prop_hypotheses,1,41,0.47239854355937927,0.5796705393642174
1108,S002,KC.U10.12.power_definition,0,42,0.35399243816062165,0.4798339609546546
1109,S002,KC.U3.21.randomized_block_design,0,43,0.5183336188384052,0.4173789588520577
1129,S002,KC.U4.16.expected_value_calculation,1,44,0.5109588991248228,0.8794179279736893
1141,S002,KC.U6.29.two_prop_hypotheses,1,45,0.48781524002696897,0.42257078608920856
1152,S002,KC.U4.13.bayes_total_probability,1,46,0.5205624558755585,0.38325182240921113
1173,S002,KC.U8.20.two_way_test_statistic,1,47,0.25843692891205355,0.1531901763276877
1176,S002,KC.U10.14.power_beta_relationship_extension,1,48,0.3618947182243925,0.45495981221955684
1253,S002,KC.U2.09.correlation_properties,1,49,0.5061527945580107,0.478339724149129
1255,S002,KC.U10.17.power_specific_alternative,1,50,0.6549478901482512,0.7176320541329083
1283,S002,KC.U2.02.marginal_relative_frequency,1,51,0.47516277830285547,0.5086151824007796
1291,S002,KC.U8.21.two_way_p_value_interpretation,0,52,0.43886820755323,0.6403487505148284
1335,S002,KC.U2.02.marginal_relative_frequency,1,53,0.6915519940315547,0.8739723012223461
1345,S002,KC.U6.31.two_prop_test_statistic_pvalue,1,54,0.3941724595488989,0.48349240235133245
1483,S002,KC.U3.19.control_comparison_replication,1,55,0.41865887716398065,0.596604067318676
1528,S002,KC.U5.15.difference_sample_proportions_normal_conditions,1,56,0.38516038559683574,0.36184854144568446
1590,S002,KC.U4.11.independent_events_probability,0,57,0.5293829196625119,0.7682738940159192
1599,S002,KC.U1.15.outlier_rule,0,58,0.47859725215407956,0.4044053651637941
1647,S002,KC.U6.04.one_prop_ci_conditions,1,59,0.4255876809385307,0.317288724534563
1648,S002,KC.U3.05.cluster_sample,1,60,0.5466425612371065,0.5869885424610523
1721,S002,KC.U3.15.experimental_units,1,61,0.5,0.6000710430879891
1723,S002,KC.U8.20.two_way_test_statistic,1,62,0.34004827737742416,0.4021386944679843
1733,S002,KC.U8.05.gof_conditions,0,63,0.49556922493147215,0.11832692142232498
1801,S002,KC.U4.12.probability_tree_compound_paths,1,64,0.5292092366458259,0.04495369699773793
1825,S002,KC.U10.07.bootstrap_interval_interpret_context,0,65,0.23306068406914074,0.04185735680441609
1926,S002,KC.U4.20.linear_transform_random_variable,0,66,0.44027677387083264,0.24880205610285022
34,S003,KC.U5.02.normal_model_probability,1,0,0.5572119810479408,0.6271187179191569
61,S003,KC.U2.19.coefficient_of_determination,1,1,0.3839835641816424,0.9297569002351912
115,S003,KC.U4.24.binomial_exact_probability,0,2,0.4226828716659659,0.2697491463803403
139,S003,KC.U10.04.bootstrap_distribution_of_statistic,1,3,0.5903589551567175,0.23599914765988966
145,S003,KC.U6.03.sample_proportion_se_for_inference,0,4,0.43750000000000006,0.6748009859566606
181,S003,KC.U4.24.binomial_exact_probability,1,5,0.4229000781904425,0.27097420991205917
184,S003,KC.U5.08.estimator_variability_efficiency,1,6,0.3277270643905603,0.010276469768011293
196,S003,KC.U10.16.factors_affecting_power,1,7,0.4272541927251614,0.9679619914171087
202,S003,KC.U9.02.population_regression_slope_parameter,1,8,0.5575651495338388,0.5855701690212959
266,S003,KC.U4.18.standard_deviation_random_variable,0,9,0.539609719635743,0.5308789106719112
268,S003,KC.U7.24.two_sample_t_test_statistic_pvalue,1,10,0.4150793249983223,0.6591765616341282
291,S003,KC.U3.16.explanatory_response_treatments,1,11,0.47655640091661267,0.5126314101764798
343,S003,KC.U2.05.segmented_bar_comparison,0,12,0.42465654329773134,0.22863835632520832
347,S003,KC.U10.09.bootstrap_vs_randomization_test,1,13,0.4245423068134193,0.44496063800360175
380,S003,KC.U3.21.randomized_block_design,1,14,0.5183336188384052,0.4173789588520577
415,S003,KC.U5.18.sample_mean_standard_error,1,15,0.4899437679058022,0.5467206034145181
421,S003,KC.U3.24.confounding_variables,0,16,0.3236187682357644,0.45206993269457774
526,S003,KC.U2.03.conditional_relative_frequency,0,17,0.3994710420647535,0.13813654864220337
552,S003,KC.U3.18.causation_from_experiment,0,18,0.4211380447542328,0.1776303092995722
568,S003,KC.U5.18.sample_mean_standard_error,1,19,0.5917698361282265,0.7900644753574604
569,S003,KC.U6.28.two_prop_test_procedure_selection,0,20,0.5191156248912108,0.776498970766164
581,S003,KC.U6.31.two_prop_test_statistic_pvalue,0,21,0.3941724595488989,0.48349240235133245
590,S003,KC.U3.21.randomized_block_design,1,22,0.5550363442948079,0.5980030424078603
600,S003,KC.U4.13.bayes_total_probability,1,23,0.5205624558755585,0.38325182240921113
649,S003,KC.U8.18.two_way_chi_square_conditions,0,24,0.26971853246163846,0.05221930468058452
664,S003,KC.U5.09.sample_proportion_mean,1,25,0.5866400639386087,0.7822261156104414
716,S003,KC.U6.16.hypothesis_test_decision_conclusion,1,26,0.38674259031958697,0.4120436750791508
759,S003,KC.U8.13.homogeneity_procedure_selection,0,27,0.3123006824359647,0.04100474016044821
805,S003,KC.U4.01.probability_long_run_interpretation,1,28,0.6142003573219216,0.7640809062412248
841,S003,KC.U9.17.slope_test_decision_conclusion,0,29,0.3623322064850445,0.41337821022846166
871,S003,KC.U2.19.coefficient_of_determination,1,30,0.40398626825821454,0.9888211638981759
963,S003,KC.U6.07.one_prop_ci_interpret,1,31,0.29490339989873726,0.42009336213928455
993,S003,KC.U4.25.binomial_cumulative_probability,0,32,0.4868176858627576,0.6648638611156934
994,S003,KC.U8.03.gof_null_alternative_hypotheses,1,33,0.46909430557215864,0.7107119759788268
998,S003,KC.U4.17.expected_value_interpretation,1,34,0.518801549307428,0.44531898912022444
1010,S003,KC.U7.20.two_sample_t_interval_compute_interpret,0,35,0.29149158769624606,0.21651984353682857
1094,S003,KC.U4.21.combining_independent_random_variables,1,36,0.5503211661172361,0.8658038327286576
1127,S003,KC.U5.17.sample_mean_mean,1,37,0.5278085648573133,0.5497516119140458
1135,S003,KC.U5.23.difference_sample_means_normal_conditions,0,38,0.5463392818734368,0.7145307397481437
1140,S003,KC.U6.19.type_ii_error,0,39,0.4318306845888399,0.7193533918349523
1151,S003,KC.U9.06.slope_ci_interpret_context,0,40,0.5828666854492274,0.47005740033631277
1301,S003,KC.U5.18.sample_mean_standard_error,1,41,0.6459312408928211,0.9194993654142568
1304,S003,KC.U10.06.bootstrap_percentile_interval_construct,1,42,0.30769230769230776,0.8907899638461064
1369,S003,KC.U6.17.ci_test_connection_one_prop,1,43,0.33246660499371766,0.011757998753388644
1427,S003,KC.U8.21.two_way_p_value_interpretation,0,44,0.43886820755323,0.6403487505148284
1433,S003,KC.U9.16.slope_test_pvalue_interpret,1,45,0.3619049484193339,0.17672874264968633
1442,S003,KC.U4.23.binomial_conditions,0,46,0.3937435908690244,0.37244497759535117
1485,S003,KC.U2.02.marginal_relative_frequency,1,47,0.5297497295951424,0.6007811953060062
1493,S003,KC.U4.01.probability_long_run_interpretation,1,48,0.6584014819815599,0.8843377262757507
1538,S003,KC.U10.18.alpha_beta_power_tradeoff_context,1,49,0.28038184975174285,0.38188159219293777
1560,S003,KC.U1.19.z_score_compute_interpret,1,50,0.4435579093315092,0.08781359533845819
1563,S003,KC.U10.15.rejection_region_power_calculation,0,51,0.2155505456764068,0.1587375044595315
1580,S003,KC.U1.08.graph_choice_categorical,1,52,0.7542541526181505,0.3248464559820076
1591,S003,KC.U7.23.two_sample_t_hypotheses,0,53,0.34895415048371226,0.3048513640302045
1624,S003,KC.U9.18.scatterplot_for_regression_inference,1,54,0.4493774055532365,0.9020711220991535
1627,S003,KC.U9.14.slope_test_hypotheses,1,55,0.33581087980342983,0.09492926444056861
1663,S003,KC.U4.20.linear_transform_random_variable,0,56,0.44027677387083264,0.24880205610285022
1673,S003,KC.U4.07.mutually_exclusive_events,0,57,0.5325929801189222,0.10705236996986375
1698,S003,KC.U8.22.two_way_decision_conclusion,0,58,0.3747874970621028,0.14966687223409397
1740,S003,KC.U2.16.residual_compute_interpret,0,59,0.4290397963996588,0.4545863443327953
1741,S003,KC.U1.14.five_number_boxplot,0,60,0.4574793582193105,0.22467159153869098
1744,S003,KC.U2.03.conditional_relative_frequency,1,61,0.44577818915623196,0.30993097142958426
1745,S003,KC.U4.07.mutually_exclusive_events,1,62,0.5282003032614468,0.09594451030935715
1748,S003,KC.U4.03.sample_space_outcomes,1,63,0.5521261456943014,0.41627439526378945
1783,S003,KC.U4.16.expected_value_calculation,0,64,0.43834358570360693,0.6972533798568442
1793,S003,KC.U4.18.standard_deviation_random_variable,0,65,0.4948941527401792,0.4005408725813114
1817,S003,KC.U9.06.slope_ci_interpret_context,0,66,0.5482125396209091,0.40773377311776493
1823,S003,KC.U2.05.segmented_bar_comparison,1,67,0.40913205473000047,0.19240866281329672
1841,S003,KC.U1.03.variable_type_cat_quant,1,68,0.6112510186458131,0.6768918659448495
1868,S003,KC.U4.15.discrete_probability_distribution,1,69,0.44280440321201,0.8226170090239623
1886,S003,KC.U5.05.sample_size_effect_variability,1,70,0.5462839740665334,0.23302182143396677
1921,S003,KC.U6.02.one_prop_ci_procedure_selection,0,71,0.5344138499143893,0.4005563358099831
1930,S003,KC.U4.16.expected_value_calculation,1,72,0.4101241006046702,0.6264612905723279
1937,S003,KC.U6.13.one_prop_test_conditions,1,73,0.3975488949193899,0.6852591417686056
1942,S003,KC.U2.09.correlation_properties,0,74,0.5061527945580107,0.478339724149129
83,S004,KC.U8.22.two_way_decision_conclusion,1,0,0.3747874970621028,0.14966687223409397
203,S004,KC.U3.11.generalization_scope,1,1,0.5078698182115524,0.26960493934312474
236,S004,KC.U4.29.geometric_probability,0,2,0.4657265101356879,0.5354665484671126
264,S004,KC.U5.09.sample_proportion_mean,0,3,0.5866400639386087,0.7822261156104414
298,S004,KC.U3.16.explanatory_response_treatments,1,4,0.47655640091661267,0.5126314101764798
319,S004,KC.U1.18.linear_transformations,1,5,0.5387813709659469,0.6739470054719153
323,S004,KC.U4.25.binomial_cumulative_probability,1,6,0.4868176858627576,0.6648638611156934
346,S004,KC.U3.17.random_assignment,1,7,0.6470588235294116,0.6898013973855839
358,S004,KC.U1.23.inverse_normal_percentile,1,8,0.5024749687734598,0.11385893363602026
367,S004,KC.U6.09.ci_claim_plausibility,0,9,0.3714430143111143,0.0799281728151932
440,S004,KC.U1.25.percentile_quartile_interpretation,0,10,0.45692834188600884,0.28144702415605705
474,S004,KC.U1.14.five_number_boxplot,1,11,0.4574793582193105,0.22467159153869098
577,S004,KC.U4.21.combining_independent_random_variables,1,12,0.5503211661172361,0.8658038327286576
609,S004,KC.U4.19.probability_distribution_shape_center,1,13,0.4359032585446617,0.5855999469271876
617,S004,KC.U6.31.two_prop_test_statistic_pvalue,0,14,0.3941724595488989,0.48349240235133245
655,S004,KC.U9.19.lsrl_equation_from_data,1,15,0.34594417308043,0.17906765291973645
665,S004,KC.U9.15.slope_test_statistic_df,1,16,0.5497281386371308,0.4206665843696377
682,S004,KC.U4.08.conditional_probability,0,17,0.44257888368379517,0.3357829915329306
695,S004,KC.U5.15.difference_sample_proportions_normal_conditions,0,18,0.38516038559683574,0.36184854144568446
757,S004,KC.U1.02.observational_unit_variable,0,19,0.5847831332599088,0.52990774341321
761,S004,KC.U6.11.one_prop_test_procedure_selection,1,20,0.488561669779805,0.469044965633063
767,S004,KC.U2.12.outliers_leverage_influence,1,21,0.5797810382908914,0.6967097474728585
768,S004,KC.U5.18.sample_mean_standard_error,1,22,0.4899437679058022,0.5467206034145181
775,S004,KC.U2.18.standard_deviation_residuals,0,23,0.2502258994668661,0.49196096544608486
780,S004,KC.U6.20.significance_level_alpha,1,24,0.4937351143079202,0.9931116317570133
847,S004,KC.U8.22.two_way_decision_conclusion,1,25,0.4960639084974352,0.430635579348973
848,S004,KC.U1.18.linear_transformations,1,26,0.5947306198154315,0.8403241156719403
854,S004,KC.U1.14.five_number_boxplot,0,27,0.591434474309031,0.5674910146921222
952,S004,KC.U5.19.clt_sample_mean_shape,1,28,0.5457449148573325,0.44961572957954116
957,S004,KC.U3.04.stratified_random_sample,1,29,0.4648404798696838,0.3104559867407384
1002,S004,KC.U3.01.population_of_interest,0,30,0.5391033345221714,0.657846430235885
1028,S004,KC.U3.07.convenience_voluntary_response_sample,1,31,0.5118485571636068,0.7290352964133573
1084,S004,KC.U8.02.gof_procedure_selection,0,32,0.663696469971532,0.10104407236568326
1102,S004,KC.U8.22.two_way_decision_conclusion,1,33,0.6174978060857281,0.7119691445616643
1113,S004,KC.U5.03.normal_model_appropriateness,1,34,0.49951759399683593,0.20516111317291172
1132,S004,KC.U3.19.control_comparison_replication,1,35,0.41865887716398065,0.596604067318676
1183,S004,KC.U3.21.randomized_block_design,0,36,0.5183336188384052,0.4173789588520577
1212,S004,KC.U2.09.correlation_properties,1,37,0.5061527945580107,0.478339724149129
1218,S004,KC.U5.05.sample_size_effect_variability,1,38,0.5462839740665334,0.23302182143396677
1264,S004,KC.U4.24.binomial_exact_probability,1,39,0.4226828716659659,0.2697491463803403
1340,S004,KC.U6.04.one_prop_ci_conditions,1,40,0.4255876809385307,0.317288724534563
1347,S004,KC.U10.15.rejection_region_power_calculation,1,41,0.2155505456764068,0.1587375044595315
1383,S004,KC.U6.25.two_prop_ci_standard_error,1,42,0.5,0.12839003452234313
1389,S004,KC.U2.06.scatterplot_construction,0,43,0.3596096503239039,0.2686234701635141
1406,S004,KC.U6.07.one_prop_ci_interpret,1,44,0.29490339989873726,0.42009336213928455
1419,S004,KC.U5.13.difference_sample_proportions_mean,1,45,0.2580355397144656,0.4597832364049914
1435,S004,KC.U6.15.p_value_calculate_interpret,1,46,0.41723018403576206,0.14092558054974844
1456,S004,KC.U10.16.factors_affecting_power,1,47,0.4272541927251614,0.9679619914171087
1536,S004,KC.U10.17.power_specific_alternative,1,48,0.6549478901482512,0.7176320541329083
1553,S004,KC.U5.20.sample_mean_probability,1,49,0.41050306684772725,0.45947945150738395
1555,S004,KC.U8.13.homogeneity_procedure_selection,1,50,0.3123006824359647,0.04100474016044821
1565,S004,KC.U6.26.two_prop_ci_compute_interpret,0,51,0.540773767396332,0.6543983470198357
1570,S004,KC.U1.16.resistance_skew_mean_median,0,52,0.5179847419895559,0.22843029057909411
1603,S004,KC.U7.04.one_sample_t_interval_conditions,0,53,0.2770177981235513,0.043055827002934824
1609,S004,KC.U3.19.control_comparison_replication,0,54,0.4847294985068678,0.8336836894059375
1618,S004,KC.U3.02.census_vs_sample_survey,1,55,0.5001831215578093,0.1403395512802017
1630,S004,KC.U6.19.type_ii_error,0,56,0.4318306845888399,0.7193533918349523
1633,S004,KC.U7.25.two_sample_t_test_conclusion,1,57,0.3974120956535502,0.8504300041115287
1685,S004,KC.U4.26.binomial_mean_sd,1,58,0.5097559994387902,0.8739381489685222
1688,S004,KC.U6.26.two_prop_ci_compute_interpret,1,59,0.4144370647558662,0.45915805515291774
1689,S004,KC.U2.05.segmented_bar_comparison,1,60,0.42465654329773134,0.22863835632520832
1709,S004,KC.U5.08.estimator_variability_efficiency,1,61,0.3277270643905603,0.010276469768011293
1716,S004,KC.U9.06.slope_ci_interpret_context,1,62,0.5828666854492274,0.47005740033631277
1757,S004,KC.U7.01.mean_inference_procedure_selection,0,63,0.508301418407438,0.5663470279573222
1798,S004,KC.U1.07.two_way_table_association,0,64,0.5458488355021107,0.6505263808660051
1827,S004,KC.U4.01.probability_long_run_interpretation,1,65,0.6142003573219216,0.7640809062412248
